ingress_kind	public_ingress	candidate_owner	loop_reachability	publication_owner	ambient_write_policy
normal	compile_with_source/compile_normal	ModuleBuilderInvocationSessionV1	reachable	PreparedBuilderExternalCommitV1	identity-monotonic+diagnostic-scratch
repl	repl_runner->compile_normal	ModuleBuilderInvocationSessionV1	reachable	PreparedBuilderExternalCommitV1	identity-monotonic+diagnostic-scratch+repl-config-snapshot
raw-public	compile_raw_with_source	ModuleBuilderInvocationSessionV1	typed-unreachable	RawExternalCommitPublicationV1	identity-monotonic+diagnostic-scratch
raw-reference	run_raw_vm_reference_v1	ModuleBuilderInvocationSessionV1	typed-unreachable	RawExternalCommitPublicationV1	identity-monotonic+diagnostic-scratch
vm-hako-reference	reference/vm_hako/compile_bridge	ModuleBuilderInvocationSessionV1	reachable	PreparedBuilderExternalCommitV1	identity-monotonic+diagnostic-scratch
canonical-resolved	compile_resolved*	CanonicalModuleLoweringSessionV1	typed-unreachable	CanonicalFinalizationV1	identity-monotonic+diagnostic-scratch
canonical-core-script	compile_canonical_core_source_plan	ScriptPhysicalEntrySessionV1	typed-unreachable	CanonicalCorePublicationV1	identity-monotonic+diagnostic-scratch
canonical-core-main	prepare_normal_main_module_transaction	NormalMainModuleTransactionV1	typed-unreachable	CanonicalCorePublicationV1	identity-monotonic+diagnostic-scratch
